joka_id	kategorija
rmmcukl2t6sottj2rvuuvg	dev
mhmp-zhqszwuimbxfbkx8q	dev
2c_aavbjsig1x1p6h8huuw	dev
bg_h3xursougaxzprcrl0q	dev
74ipdu8erx6sqzutjhmgbq	dev
gyha_1u2t66xgarrowtlva	dev
vugxeryxthmn186raqgnng	dev
ijpnw0birv-ogszti_wuag	dev
lxygnv_ctv-39bwayrqqug	dev
qwv-rz6xtjmhiayprtgnvw	dev
7ghrxlcxtaavwauh3nwwka	dev
gll-vunmsluzrad8sfafwg	dev
o6dsz6earzip2ivqoipamg	dev
rhvv9w42qka07narzt47da	dev
qgshozvsrboyqdbqa-vz3q	dev
wb1kcp6itj-5pk9md1-tiq	dev
c5k7tulvqjs76evwb3brfg	dev
e2gyguu0tg6di7-qykdjnw	dev
o6hnjjOITzehqLHbSWS8hQ	explicit
o7quf87osyal6bsxjndela	explicit
eiyfQ7CkQHS7SCoBXuLEzw	explicit
PPxVm6zuSW-Hv5LxENBkqw	explicit
ov5fl59UT-SgbxuP8LAreA	explicit
3l0NTl4kSw2jfSzEA2Lgdw	explicit
ZVoYDHYOQLC_k2nY1SmCLg	explicit
GJHKEBt_QouR_ENwLPxlbA	explicit
odvN_Lo2SkWO4FbBMYq3eg	explicit
VwexThaVSq2NYqqsyUMoOw	explicit
y-Jg50NRRmex84M3dv_ywA	explicit
AvlUuhigTt2HrsL5wAEdEA	explicit
nv7PD0KwQRGhM0aB2cDvyg	explicit
RUc4zUf4S6-5EOIVyJ2UiA	explicit
GrvA9qCVQ7CK5oDPRtzg9Q	explicit
j9jxVt5uTd2FCAgx8bqLXQ	explicit
TAl2IXxlR9qTWMVSc9Vv3w	explicit
0yLshZI-SFG_14EbNsWprg	explicit
je5Hr3lfQTyvZZfvdoXudw	explicit
e82_skt1twatoavnakhafg	explicit
gV3Jto3qTv-E4gprqfmccw	explicit
gsTT-2MZQb-Ypt1Tdv5efw	explicit
gCCZUH5RTjSYs3ezlUq49Q	explicit
uihm__V6SKqtqtxU6ILt9w	explicit
UkviGb22QhigybvMan7tog	explicit
CbAdkF8IReK9hstCWkoVug	explicit
9JehFRQkSECVfcTQUI5EYw	explicit
6PAaTxNiRtSGq66Eo5r4Ug	explicit
wVqmLUTHS6uw8hwoQuLmLA	explicit
iYMZxiF3SfGxT4pgLiukpw	explicit
swda6YinSzygZ39K4cDN2w	explicit
3l9qW5-NQyuCBxeGCMzmeg	explicit
eNKztpCrSl-1pFvZ-hzUuA	explicit
YIUEuYjTS8mEmfwhDLE3sw	explicit
erW9ffnwTqaj8J76E9AGzA	explicit
_QEzx__9Q_WKMr53WzLOsQ	explicit
vyF8HL08TeeqUaTqm-v7xA	explicit
Fgm6-JIoQQGin6NU6d4C2w	explicit
SVdvBhI6RZudJ5Lq8C9YGw	explicit
013U3baOR56lKNOSjlenrQ	explicit
A732AwmNSrO5CXrQAviRcg	explicit
eXcx2cbzTH6YyRPLDHPPLQ	explicit
zXV0MeXNTX-2syEaB3x4eA	explicit
oPPegPNgT0KS5fPaRX1-4g	explicit
GGvB0CODSn-CnvhDnJDAKA	explicit
enkWyet8RliOm68xgrJdNw	explicit
YG2nXFM_RJyD2FLwxJrtrw	explicit
ZyQJfK6iQJ2QB8chjoxCTQ	explicit
_aBqTcLoQ02EsC1mGzS_Kw	explicit
9r46_gefSf61ba3yCvvnOw	explicit
Zg0A3-ZtTp2sutG854vVHA	explicit
sUdBEpGARAyxbePaHlE1Xw	explicit
9HfAFHoJQXGwWpKuFwv4yQ	explicit
rDdAOzU9Qiqf_sR1XCHEqw	explicit
9D067VuNQZOlLIuJzyk0GQ	explicit
xJwO6LwdSj2GbkMBW7FGIA	explicit
dYZIV9HNTkeYUChcYPc3hw	explicit
UqZU5KPAQy6foJ4cTvAoJA	explicit
Y4bxtio9TuK5XsmnpJRUQA	explicit
F_VK2CmlSyKpyMX2XXdgWg	explicit
gDorErXbTNSSwOMBPGo_lg	explicit
VEDOQuIsSI-2CAgq3-2DaQ	explicit
m9lf8ButSDyzBkgUAhtnOg	explicit
gIEsdgZATxWvOuVkN-5R_g	explicit
aOQJwsmoRVaG7xyLubV3Lw	explicit
6AOA97U7SVOkKRMkExmRyQ	explicit
oI4rtgsSTFmi3u-6J42lBA	explicit
_Et2VOx8Q-6kBYI_2PBIqA	explicit
kxOR5qxOQGSMN0wQPxSjcQ	explicit
jOwLuCcsQQ-11XxnRm86UA	explicit
AgJ07JB7RTakneCekANN3g	explicit
gixH2ZhOQ-SsmwtrSJPdwQ	explicit
FnWEVtdzTm2XDCQV9ibjgA	explicit
i68wvowhsickqwluznarbw	explicit
3Z5D16wESESpsRuoZ1HgrQ	explicit
AZCXmffOQ7O1ixa3WEHdTg	explicit
2a3_qECqQgK1QlsMBbIMAQ	explicit
3EOemsGMSEKttDnddHyi9A	explicit
01MA73TvSA6V7_5DuQa_bw	explicit
-iqdtc09S2-Q1ja6iFo2zg	explicit
axtqqerhrm2lredluq1suw	explicit
ZTYmIpX7SbydVebHBqG5uA	explicit
Gv4yQ74SSamF0FwX16v-gw	explicit
br0nodo6sl2q1u_i2s6uja	explicit
oLYWDjAEQIyIuuVZs4knsA	explicit
wxE0WJDeQDefb78NM7CrkQ	explicit
0faEsb3NRp-wrtSVrTjtdA	explicit
kloj8_6utuwlbixe3ek9sq	explicit
cuLLs-WNRKK9Zdx6_RGZQA	explicit
8jEmpfSfTqyafNpLaHOpfw	explicit
BCMbfaAWSCSrTa6pK5IotQ	explicit
V9WGQsP1Ts-PI3BWuBuwRA	explicit
U5dGzpz7SSW7A2jxQstTAA	explicit
vj5KY04cTQi9uypaG8okXg	explicit
_4ckz5ltsh2fyxsdd-2v4q	explicit
utsf-vqksjy7gww_xoppma	explicit
SoaKF2cySrWVTeEj4iOD5w	explicit
eWgbJyI_QFObryaDMyduGA	explicit
2cUqw0rOTcSCi2qbKTN6fQ	explicit
g_egHSh6RLqqaVxQqqo0ZA	explicit
_bCRrO77QgaR0adMAPJNYA	explicit
SQFCZhV8RN-k8q80X4IU2w	explicit
gs8GGfRfRAiMvmdeP2Mg9A	explicit
JiqrAB-RRm-xYlPafESBVw	explicit
4ot5f_k2RzWfmAS2j8ZJbw	explicit
JbrfFdhsS1i3-Nr8WPy7ng	explicit
LRK6BC3LRvuoHtORRdmRIA	explicit
1J7cugWtS2GifDcnrGmOlw	explicit
st3kx2PLTcu6o4oUUpzABA	explicit
pOzwkIRkT9SXP_GCzrD2QQ	explicit
P9fBFg7RQZOyjBVMxgnPJw	explicit
VKLMr7iXSficHHzdi5Ma1A	explicit
Ng5ipJ8CSN6-Yddx76lhSg	explicit
CWcSZERlTYGr4ljAjhTO3g	explicit
fflU2e46RIWde-0tyLC_7A	explicit
NGQ2dU6nRgiBlZ24osB1pg	explicit
CriqIsbTR_WOzGRwYQq1TA	explicit
lGPOoG2TRQydc8EItYlKng	explicit
BTrxGxsyTRiuJ2PrZ4um-w	explicit
GzpIgydtTgWOavsW3qTu8A	explicit
0NR490f3SiGlqn469rr7bw	explicit
j7Z0MbaaR0WvW0Bbd3rzTA	explicit
GWG6kx_TRgCCwQIq3mOgCQ	explicit
zSHg9mMSQnKpyzNodYA8rA	explicit
HCzXevFiRRS-o3Cy9Ko1wA	explicit
yPi-tq5fTFWROW5YFplsEA	explicit
nVHI9qLjRXWfU3XA0Cy3gQ	explicit
QKOoiJgoSkiJBO_2OzGEmw	explicit
7xYvJRnoQVm2TJJwcyEe4w	explicit
17XLy9-0T_uyg7zBoTOhOA	explicit
RUePcdhVTYC_hQGkC6SQYg	explicit
tpQX1hAyQHSolsCpbTiNcA	explicit
vUiilT9wTASrJr9srbJk0g	explicit
WOEA1WElScCLj7CE4_PI-A	explicit
YAuQByL6Q8m5IG9_1VbsdA	explicit
BL221V8TTnqOeZgK_p9W4g	explicit
dWBI13UeSVu-fPZJFKcS8w	explicit
fGnZzcBSS2SXbyLXAPCFpQ	explicit
dAVnhRJOQrGTMt59HqXenQ	explicit
2IZw9EzwRfubhVvV941kJA	explicit
w6L_JOAYQa-jxfpKnPBMJg	explicit
4FVyU4jKTBmvGIAKTNepUA	explicit
NpAoxqyWRXiibBuMHJgzfw	explicit
OH_IwiBMST6mSjfyCs9uWA	explicit
jrxuVANTTaaCV0rPBYcfbA	explicit
2Sn8Qd3QRhC3tJ3Zijw_8Q	explicit
goXVrQcWSkazbqJcjzS4KA	explicit
JpIquvBXQQylBoKjhxDB_A	explicit
qlxspmpzrveg1eiexcufwg	explicit
S6XHf9BbRKWMkj3eZSm-Ow	explicit
YaO9oQM8QnOG_nXAxzmpOA	explicit
pZW439doShq57q3gF-XtDw	explicit
IkYiCgWqTqaBILZvY7oVGg	explicit
8KO_T6TjTRaq5RWXs5g9Vw	explicit
cGpGYYKOTy-P8UODbG45UQ	explicit
YtsTPAN7Qs26VCAk1g3fdg	explicit
pCeNNP55S2OrwC2xv9KZYw	explicit
jZxPqSRHTKS462_7g3sh_w	explicit
ExEbPwVDQJ2VwceyDfkndw	explicit
BkXlzDzUS8Cc3cr8u_dcLQ	explicit
49-k8-aBR2m3Nf-3oHBf7g	explicit
JxluMCcJSOChz90m9XTdXg	explicit
6qZJVO95S66SlYHXLALXXg	explicit
8m37foMySNamkJYqFRnuvg	explicit
K_JFovFsTRCxu0rWey7rGA	explicit
hhunkvoos2ko_mhd6_9mpw	explicit
4Uul9XFURh6DKSj0-w4IRg	explicit
eKppRNjRSBKzzn-GSkXwQA	explicit
DPAHZiM3So6XHFEh6A6iHw	explicit
biCCc27FT4C9riHOK3fkyg	explicit
yIXq-JYzR8CkId88YFGQTA	explicit
eUjgYeaNT0iEnDMHKqL-XA	explicit
x4Q9VJYTRYOricJf5PeY7Q	explicit
cy-zudhcqlmsenzwarfsdg	explicit
GDmkZ0j0T92BKp6kLcOs4g	explicit
7D0Ep9jESY6_ZzJNYY4aLg	explicit
5rYgrG34SMG2PCFEl2zUbw	explicit
QuqW5iRjTCisXJvu8F4vmA	explicit
FB2v2MWQRhSvFq_uaxAbng	explicit
eNdEZyq1T2WiaLtExyCz6Q	explicit
BGqG-h5kQjuOyF2QWsOFwA	explicit
8-xhj_T8QQmfqnTGNOON-w	explicit
ee-m6HnsRDK_6mvTj4sNLg	explicit
qGYF7elmSm6G7x1SUCQdqQ	explicit
p8aUh70fTc-MJfxv-lmCDA	explicit
sQnJ3mgWS42P3efVJBjKBQ	explicit
t-fGDoDxRx6Njpy88Mi8uA	explicit
VpwD1dppShKJlL3FR2WrTw	explicit
IfN3N7cXS5WDq2RHuitxBg	explicit
lwM72Zs5RbWY2sZil-JpVQ	explicit
j1veqesaqs-l65pjc6qwzw	explicit
IQAFTYl7RLGc3xCB5QM2IA	explicit
gTzgfuNXQG-qtwDDqweeXQ	explicit
RS-ojXNRSDaJgS8DkF0X5Q	explicit
odognilzqycwinumdqbwwq	explicit
Q2ATBb9gSp2RcoS60SWRMw	explicit
-T74C91ARt-l7thJmSEemA	explicit
zsYc4kBoRUGRWhx68g2ohA	explicit
oz0aH06aRxW_9EwF7jCeIA	explicit
P3J2ohC2Q0yxmG5LK3ggPw	explicit
nTsU-K8USFW8QrW36YR68Q	explicit
UYqkLNq3QoeQBrhM9pJpkQ	explicit
dWvGrSzySJ6yYP0pWdG8eg	explicit
jaiy4W-oSRyfcmNoPUAUlw	explicit
KI4cd1NTQgGWJ5gQ35Kuyw	explicit
xuGUnMJuT06ttC4nrP8QqA	explicit
NeQ_Tt0DT72dBZqgR7VD-Q	explicit
39iuLfRsSDirOT6W03Qy0g	explicit
3peetor-txmf9v01ufujoq	explicit
IRRfVqVuTU-aqpvqRPPfRA	explicit
IfMaI_UxRqKVwgDehAKjJA	explicit
-9D4NaUIQOO_8b1s7sJTKA	explicit
ZPIZlnijQeelusVMNJnkjA	explicit
i3ceuZDPTbyxMvYAcWfxDA	explicit
F2ZUihOHQZam9xgdVWDVJA	explicit
yYAmRPoeSYKP2xu8jfx_BQ	explicit
OSlTqFsNTPaYcnF5HRUKlw	explicit
0H63MbzbRSm0bNR5vTd-sA	explicit
9DcH8JO6TLivVLanBHbgng	explicit
MkS3XX7yQT6UpPAltnySlw	explicit
ByFXOIeYSlWKSQpTXhY3Bg	explicit
-u-4RmOiQGOh5xfxiOchtA	explicit
FFGg0jRGTVqJEDM1dLuSWw	explicit
Nf8rEA-eTVOANlJiJ9Ir0Q	explicit
7cFXrIriSROSyi0V0JDWhQ	explicit
OU9p7CjRT3CNwm6SoVZotg	explicit
Aly5gNl-SPq_baoT1Go2tw	explicit
Acz9rLC1TzeS00kup2cPlg	explicit
3UaTZEyaTdm3uV_-jepoaA	explicit
7EEWW3oAR9-E5udK3DFOfQ	explicit
f8F2axnhQgOBZ4fBFPprkg	explicit
AhRCi6aGTBq5RNYkebmWiw	explicit
xT-vgkEHR9SeoAd0rHfkIg	explicit
Vpr3oUG1RIiNTR3JuudrDA	explicit
0pVqmSRmTgGX13bbK2658A	explicit
4gVGjVd9RSipzaD-Tx41FQ	explicit
i4zAxwdGQ5OIY1wBHNZ6zQ	explicit
7xoo4cjutwu3sgmuelp2pw	explicit
1Skw0Q8iRo-lbEw81Yuoug	explicit
5XQ7Aq6yRJeF976LbPNm8g	explicit
73PtOgIUR_qDuEgcythu7g	explicit
yFCVoitKQWKNKJfFhewtUQ	explicit
L-iXG44wRXijLVTZhlPZ9A	explicit
cYkYHCaIRMGMZJhCHqMiYA	explicit
3mh87iq4tjysofpmvq75lq	explicit
29Zo1wBaSTSHnexhiDczYA	explicit
G2bgkm0HQvW_dwy-HxTJww	explicit
nZQEA_WVTA2r_fpib5LOMA	explicit
_m36F55rRaKSpfwxwfJU9g	explicit
e79tVq9SRl6ZqaCgg0Jgxg	explicit
RX3L0rCGRc6pSCzghxzL3g	explicit
WeZFqcg_T92j4SLGSKSquA	explicit
nTefmxfYRYa7v7n_1936NA	explicit
AX493pHXR-KSu7-POvwl_w	explicit
XZDOHb53SjudnuHmcc3tXQ	explicit
0buuwPjYRLib4pAMMAnlrQ	explicit
sOXhXmMET7yTc00WYeOK-Q	explicit
Ilk8E7A9RZiGO5XFyVMpWA	explicit
Kdy3tu6-RQ-4mIMR76rJeQ	explicit
Vt00zmQBTHi9BQUcfYiJGA	explicit
X_PsIL_OTQyJv6pLGqFheQ	explicit
8hbrtDUcRtOKxqay1qxGpw	explicit
FUBtj7n3TCOrpv1k4APF5w	explicit
3avTbFR4QJa1x959VJrqVA	explicit
lCykfezoR3WGAQtHC_ojSQ	explicit
TUGPNtjeRwG1LV_sWikiXw	explicit
CDKvjfrITK-4Xn1qHHr9AQ	explicit
hkhxkqlitveah9w1k26u6w	explicit
tXA0hWHvRjOSX0d0YBDFkw	explicit
6ZabAN7rQIOf-YLPPMtatQ	explicit
z0inxy3bS4mwxCbFrbOlfA	explicit
wEmndQnfS3-8EAGrRTHrTA	explicit
pV6Bgm5DR2mbcaoP3d20Nw	explicit
ukrzhvanszmegxo5jlyxna	explicit
Id7nc-GPRy6e9CJRMHWJpQ	explicit
0wdewlp2tz-mt_upesvrjw	fashion
-ojrkppmrqmwrn9e5huydq	food
ixljkjuwsdwxnlmmjwqsfg	food
-gpz270mr76inxsqt3bzqa	food
LFS_pIjFSey4S92ADvi3CQ	food
4uqhu_nmtncleixytkl0pq	food
ly8tk-datoctdh3fftyh-q	food
MjtEesffSd6AH3Pxbw7_lg	food
e690xhz_te2hnf7nk7ppfq	food
4zavbyaktuqhluply6eqmw	food
TJ7QCm25RpGZZo-90zyO0w	food
Vnx6otXNQD6W04saS5qZjA	food
xnuwaugts-kehep-plwhpw	food
9lmuhabxqoq5avwlqs0qpa	food
Qp4cJu95Q9y3eaC-Fl7gLA	food
egthskxhteihhte-olhghg	food
srx_bhymq5mcdnqtd7htja	food
czip-do5sbcehb7meep_hq	food
yzcafw1xtf2s63xse15qug	food
zW8KKcrRRoOJ1cW_2m6VaQ	food
ugysngkxr2uvqdpqzr9brg	food
9hRt6ASgRcaqOMDKA_6VXA	food
TwLtg7nJQ7i6FnJE9fVwag	food
lsgbshl3ragvgicq7u9wsw	food
e9LPe1QcTIWO8VqQJZmhhg	food
sJXTviVLStCMFWM1CWVYXQ	food
2okswpdgsxygovph4hlwng	food
uIrcWG7dRQG2SE2ZITAldQ	food
ckg3rsihqvar2uqltyx58q	food
11m4u2vyriuhrpbag0w7sa	food
lqo-nouprm-jfl9eojtana	food
wwejtx8ascmzfkc6gjqmqa	food
rmippwentlkoza8wlv_vjg	food
GzQ6j6hQRQOGL-Uj0doXwQ	food
fw_gwlvrsl-7fxjvezotuq	food
2sHWyu6dTn-wWyeiqMZ9Pw	food
S5uiluahRM26CTWRZNXfwg	food
d1EEOBrpQYGX9Ixj1f8kog	food
muujj6xvr16hazym0b5tjw	food
-jHc9HCzSISZnCyVFJIzHw	food
kfjreqvxs464s6rspcj-qq	history
umwzezi7siitlteg3jiyiw	history
rqcvwdgqq6amwony3nngba	history
t_wyddbstys8ubos8oni4q	history
3qr6hlt6rouy2t2jtlnzzw	history
vxmg5zgusq6ra35ns4e5sw	history
pIeNn_rzQ0OoO62HUVrfQw	money
Oqe6nb1QQCyf6Fq6d0duBg	money
XfTC9rAGS_GbP9OynxTbhQ	money
FZzIUAXAQHO52OJbYFUAgw	money
MomevOsjSka2pZK6sJjZlw	money
Wwcp0zJeTVeHB8zEZyciCw	money
kROzwt6jTBab78dlTsCtVg	money
FX2OiBnETx6DANSEET4ndg	money
_IEikC7PR4KFEX5WvgZ6kQ	money
H3dOPTjuS1y3v5Bf1-XQvQ	money
L1GsWHngRoSW1UPXidGQgg	money
BwMFn3FCQQaCSw0uEKkWLw	money
No-AUOVWQiiOyXwPFIAAhg	money
pOGlPV77SmKjkhOQxu2siQ	money
ZaNUDPlKTROi6DL1Ii8LOQ	money
l7U9EO5rTlyvCc9WIJALtw	money
5cGCv-UkQR6S7HeRjULwyw	money
i6l180dNSiW4AvAxQcBERg	money
gjcgdPlIRhGhXe5WmiOysw	money
o7xRYQCMQR29drhes2LEhQ	money
rC7MOkCHTCmiIh7MHOG4-g	money
m0i9Soh0SVqn6REAfk10uw	money
fzUIecpIQby60LGwbzthhw	money
V94Atg5NT7-ZcAPmWWI86w	money
n_gB0nd4SzOPwdbZHAsTtw	money
i3ri7iiurh6l1vnvtqow2a	money
3sw5A0AMRlOgPfZdtTM3wg	money
hDEEGiVmQGCiuXt2EbnYMw	money
EXq1Zi3pTPeLWJvidak70w	money
KxXm-Ba5SASuHjgieTW08w	money
_yq0MGFiRPSDdxZ8dnWrUQ	money
nfuwYYXLR_qQXu8uUthvww	money
iNmA3fofScqorFXWo3g0MQ	money
7eqp16nzqucq6phk_2expg	money
gnRIdaF_QqyrE0G-GdCuWA	money
13urACbrRw6YBc7Fr3d7wA	money
ehkte1k5qtutxao9e15ulw	movie
xtuqmvbvrzc9tob-a1s7ta	movie
bEfuO4msQ12ub8S1ZKJqvw	movie
dP_0_ITOTom4xnxLkOr7HQ	movie
fdwytur3tpgz48-mdd1amg	movie
mb3nrbmjq3guzb0jg8femg	movie
c-3yrrglr0ouxifeo2rzsw	movie
5e4voyf7t_yw-9qi8ppy6w	movie
dJQ2OqkBQPqfksj9maoxYQ	movie
wrL_bWmWSiO2SNnt1_Uqog	movie
zc2g3me0rnqbfankmo99hq	movie
udiwfiwnqpqsyhoj_fjuba	movie
yfo2yjqlsrc5ksiimbpqig	movie
etu5stytromsxrgybafqca	movie
HNTUHUUDSMObOHUHJul5sw	movie
h6t1xcbws6m8k_pduoznwg	movie
4-516mfmty6qt5e8hubllq	movie
iceymh7_siixjrhoqgnwgq	movie
te2c64-ls3owmuy5amehtg	movie
4mvtvq6isnypt_gz54vtzq	movie
gcu1ibbzsyootruza5rsya	movie
uxohgpg8seo16qzc5xnbdw	movie
pn_y-heotimuyfatmsvzng	movie
k2edfs9vtaqtrdn4sj7wlg	movie
ux5mdkg3ssujpmgao3uzvg	movie
nuvacfzeqomvab8yfeskxq	movie
qaetpus9twgdkckd70jisw	movie
6ilnkzwert6gpoebamjffw	movie
1fkrltd6skk9tj3nm9xphq	movie
awceyp1nrpaxt6e_mz-uea	movie
1vmkq9bltgyjcj01c1eajg	movie
s4gbskbvscsc4zzybwhh3q	movie
dol4jfp2sdmfrkx3srhrmg	movie
ujpvtgwptxeptcxes33dng	movie
9KQZrE1KRoG29dU4QvZ3vQ	movie
sudkgw_tr_ejehjag7cqwq	movie
0_acdyhnthyshildaipp1q	music
jb5hryzor2antfninn5-_g	music
rlra7cwks9y5vqwuzz8osq	music
qxsbf-jeq_act5a4bbwavq	music
7tb4dwgvrwkaqg-a-wzhlq	music
hd0l0jcrtwyjcjgmr7timw	music
59GreidORcWWtxnSpqvX8Q	political
IIkVw76ZRUqBwu-uln-RZA	political
hyQV9kHDSN61rRIsYwSr4Q	political
_eh6qfhvs6a1zdhkkzglda	political
hfrevauks9-hbwc5bf4p2w	political
w-DO4hGuRBeWRFz2cVoRzQ	political
qwwve4bkrygyuhf6whvt4a	political
urv99vobshwv4masls2teg	political
uanj8roxsrwq6pgb0kufia	political
b4e8h63nroc6xadssom7mg	political
uynvnqrmt1oqjeoxo5y73w	political
rusbceqptosnj7risv3xpq	political
Q4QOV09yQiuoQzEPOtybqg	political
fD1nLFTzQ6uGzLktpc0abg	political
n87VVvIETUq4w-elrs77_A	political
DFH18ou2RJuxK-QNGV9FhQ	political
ak7chtuzqy2u7tzc6z1b3q	religion
mhielogcqiog07ca1rof0g	religion
-fa7rpzlr2iafe1pmq7xaa	religion
3kf42nr6qhkll8hucjbhow	religion
defxwux_t-wond-zfhoicq	religion
qTcPNQbLTxmaOMPfYKj9iQ	religion
zuf836jurwgszxegfxe76g	religion
bxj_mvi2re-nlis970ejga	religion
GvdVx7vQTPqIZH72yH6F8g	religion
txqmxydmqpinjsxkcyqizw	religion
tnr_ylf0tciqndymlnmw5g	religion
hsnyecdiq0e7moidbhs3fw	religion
j_stYjIXSPWn7a_9DnI4ug	religion
40mabPTdTiiyniVXdgbRGw	religion
66Eivn6tSV2IaNTzXEdgFQ	religion
u-xwyw6rq0-dxrq1rioogg	science
ymizqu9lrcenixhy-nazka	science
bygddhw2tuqct4hxazxrnw	science
zfgekm2usfyfra7m5x0wta	science
h2le0vpkstise9oetsodmw	science
_en05aqcsvuu3v2vopnoga	science
vcj9kqsttjqxksyiytv11a	science
_4ci8ue3rkenn5tq9lameq	science
q7x2yb1tspujmkwwdyqrsw	science
c5qh8flprdg-amdl-rgwtw	science
jtibnb-mtuyluzqrwtodzw	science
qszz44pvr3iv7kzgwoedza	science
sbdpxom2tm2-h_wdxncvta	science
kb89coersuwc_lifrsx8yq	science
htgg43w6sxs9_-5nn3s5ha	science
uojt-t8as5ws5h1q-sjslw	science
pattwbdusdgzo753xnhyxw	science
rgxflbh9qx-i51rt3o3-xq	science
izjeqnjzteeqms8l8xgdhw	science
